time_const,time_lin,time_NN,loss_const,loss_lin,loss_NN,loss_const_val,loss_lin_val,loss_NN_val,BS_const,BS_lin,BS_NN,MSE11_const_val,MSE12_const_val,MSE13_const_val,MSE11_lin_val,MSE12_lin_val,MSE13_lin_val,MSE11_NN_val,MSE12_NN_val,MSE13_NN_val
23.15,22.99,36.94,4240.872324458469,4037.967745222501,3968.0647435335086,1384.4331875226985,1343.5838021663355,1332.0801060820538,0.7433781492823505,0.683090788288037,0.6680959432501532,0.1651760708168609,0.08127401563551681,0.085654271028419,0.1304356839875494,0.06184601986226056,0.07083336591489135,0.12292461454378584,0.05718119718212561,0.06657912130456671
22.45,22.35,36.82,4269.091821284598,4085.8778769987534,4017.7087274052265,1420.2224028760013,1377.263510264438,1360.495827255038,0.7384867297201513,0.6843860581578022,0.6626284661894479,0.1769570682558589,0.08042114585254717,0.09956965012457063,0.14570803069797922,0.05951575750504045,0.08940644732970608,0.13355504177627125,0.050366673201579594,0.08425305858536031
22.22,22.19,36.25,4454.607879961342,4252.454055731834,4207.6222971315965,1409.8710960274225,1369.8382413821903,1351.149962207867,0.7637791153610448,0.7169627279144533,0.6928166742023579,0.17859106441407593,0.1030132964373841,0.07741338364137568,0.15551606691571646,0.09321200896306601,0.06395830098408065,0.1502216753831679,0.09138975872816753,0.05894801576027667
21.7,22.08,36.24,4255.191409047536,4065.04472116122,4024.2850021763943,1450.011069762286,1382.4873304636483,1362.1072529016321,0.7445233133645626,0.6795752845233238,0.6647934479701398,0.1706503709780732,0.08411114765340058,0.08840564674743058,0.1402149827648668,0.06630790528561102,0.07618960658378311,0.13724694720633712,0.0633859615193018,0.0747444802245691
21.93,21.98,36.1,4186.406570934554,4036.4190011960704,3980.066894650111,1489.363327372381,1426.5435473794907,1402.8787842137679,0.7705431195205596,0.7063059602229929,0.6778838721628996,0.19329719744335677,0.09478447206234845,0.1005654891008289,0.1695222505816152,0.07993222574370118,0.09108079009216272,0.1611730740699539,0.07390934306958993,0.0877095405586646
21.78,21.7,35.51,4249.745941570304,4093.455945057748,4039.5858015339154,1448.881316218756,1409.9927380563715,1376.4256540170734,0.8092629653718363,0.7534074263179961,0.7123013435649088,0.2015918509827102,0.10169146898406058,0.10117070456920248,0.18151698160376256,0.09016026303229081,0.09217758290390261,0.1732266281410643,0.08512947080816274,0.08833841528979759
21.96,21.9,36.55,4078.1663419567144,3938.5213438751985,3897.3490660241114,1386.904485365356,1333.456776979172,1319.13420128811,0.7666215717825378,0.7006047698794063,0.6810729811064772,0.18855599878944518,0.10290583651884831,0.08662709982106043,0.1642984172708336,0.09140712784951441,0.07411450452484762,0.1586761429028451,0.08910328991191047,0.06975346244232962
22.06,22.06,36.31,4238.66710092619,4078.984400826141,4007.7822809723975,1370.6823513820868,1318.1752708817596,1299.5746368869538,0.7688894886806656,0.7052553822987045,0.6817618105597844,0.18080212918497196,0.08881060896435766,0.0935510902674864,0.15487003569590577,0.07273460809889362,0.08353712133706177,0.14748377523369685,0.06845865191421789,0.0793957140022382
22.05,21.94,35.79,4160.236703655312,4022.4852659244366,3962.6088873630233,1410.7889310546352,1357.6352867365765,1334.1560489625033,0.7535363990298043,0.6947590752233499,0.6652850372983246,0.18215598849853099,0.0955093111201736,0.08768355793704527,0.15825816705146312,0.08389795749775625,0.07530882882382885,0.15018433000584785,0.07861005059113944,0.07176999833401627
21.39,21.61,36.03,4259.389709044642,4111.905973242833,4049.1250714949165,1399.974798968418,1357.49228753453,1339.3356395318647,0.7959240603309863,0.7419103839708913,0.7130893883130178,0.19776381886231592,0.09022608482063287,0.11116720138326017,0.1755221643510985,0.07415770318130499,0.10284156687642981,0.16570140328759933,0.06663100440223489,0.09942240161407513
